Material,Length,radius,Fratio,R2score
SUS304,0.353,0.008,7,0.9962551238798362
SUS304,0.353,0.009,5,0.9849273524264979
SUS304,0.353,0.009,7,0.9905832200914859
SUS304,0.353,0.009,9,0.9946183577278924
SUS304,0.353,0.009,11,0.9961399535824537
SUS304,0.353,0.009,13,0.9979676308510337
SUS304,0.353,0.009,15,0.9975300098525287
SUS304,0.353,0.01,5,0.9875180264579017
SUS304,0.353,0.01,7,0.9915178507928025
SUS304,0.353,0.01,9,0.9949539747047534
SUS304,0.353,0.01,11,0.9951991599069965
SUS304,0.353,0.01,13,0.9967017511191661
SUS304,0.353,0.01,15,0.9977358601981493
SUS304,0.402,0.009,7,0.9938031579326266
SUS304,0.402,0.009,9,0.9955000900480538
SUS304,0.402,0.009,11,0.9985412656985748
SUS304,0.402,0.009,13,0.9969085690117513
SUS304,0.402,0.009,15,0.996468966437887
SUS304,0.402,0.009,5,0.9897988227664489
SUS304,0.402,0.01,5,0.9927510435990987
SUS304,0.402,0.01,7,0.9949584093784173
SUS304,0.402,0.01,9,0.9935993631902003
SUS304,0.402,0.01,11,0.9978376320638175
SUS304,0.402,0.01,13,0.9979082997842653
SUS304,0.402,0.01,15,0.9975040315117312
SUS304,0.451,0.01,5,0.994477271388477
SUS304,0.451,0.01,7,0.9962915645421622
SUS304,0.451,0.01,9,0.9958878195871748
SUS304,0.451,0.01,11,0.9983295149937056
SUS304,0.451,0.01,13,0.9978513645652527
SUS304,0.451,0.01,15,0.9970869416985757
SUS304,0.5,0.01,7,0.9960959677023694
SUS304,0.5,0.01,9,0.9978767455778116
SUS304,0.5,0.01,11,0.9976642347650513
SUS304,0.5,0.01,13,0.9979630913806825
SUS304,0.5,0.01,15,0.9951884862452308
SUS304,0.5,0.01,5,0.994640324268743
NiTi,0.01,0.001,5,0.965800204232152
NiTi,0.01,0.001,7,0.9664833141011362
NiTi,0.01,0.001,9,0.9781587287674716
NiTi,0.01,0.001,11,0.9847287450559166
NiTi,0.01,0.001,13,0.9954984889384586
