Length,radius,lrratio,TDL,Fratio,intercept,AvgCurv,pade_12,pade_22,pade_31,pade_32,pade_13,pade_23,-22/inter,pade_22/2,pade222-inter,pcterr,pade_22/2_adj,adj22/inter,adj22_pcterr,test,ln(lr(x-12.5))
0.059,0.003,19.66666667,0.001004018,5,6.010453284,5.672420281,-11.73764117,-11.63944102,318.5965412,-11.64258787,-11.93203524,-11.44096939,1.936532982,5.81972051,-0.190732773,3.1733509,5.839466205,0.971551717,2.84482834,5.532392477,0.676340062
0.059,0.003,19.66666667,0.001004052,5,6.01000717,5.672608995,-11.73804497,-11.63983822,318.5960515,-11.64298539,-11.93245243,-11.4413532,1.936742818,5.819919111,-0.190088059,3.162859105,5.839665463,0.971656988,2.834301229,5.532572027,0.676340062
0.059,0.003,19.66666667,0.001444925,7,8.844235501,8.163417042,-17.14660706,-16.94166382,312.0760425,-16.95131019,-17.56219855,-16.52546676,1.915560007,8.470831909,-0.373403592,4.22199965,8.499248764,0.96099304,3.900695963,7.877533558,0.676340062
0.059,0.003,19.66666667,0.001444925,7,8.844235501,8.163417042,-17.14660706,-16.94166382,312.0760425,-16.95131019,-17.56219855,-16.52546676,1.915560007,8.470831909,-0.373403592,4.22199965,8.499248764,0.96099304,3.900695963,7.877533558,0.676340062
0.059,0.003,19.66666667,0.001445185,7,8.841669493,8.164886037,-17.14984382,-16.94482588,312.0721629,-16.95447762,-17.56559269,-16.52847595,1.916473568,8.472412942,-0.369256551,4.176321578,8.50083491,0.961451332,3.854866809,7.878902059,0.676340062
0.059,0.003,19.66666667,0.001911292,9,11.96688407,10.79825958,-23.04259332,-22.68107478,305.0495316,-22.70408376,-23.79475348,-21.94308856,1.895320006,11.34053739,-0.626346676,5.233999699,11.37812613,0.950801066,4.919893359,10.30547596,0.676340062
0.059,0.003,19.66666667,0.001911292,9,11.96688407,10.79825958,-23.04259332,-22.68107478,305.0495316,-22.70408376,-23.79475348,-21.94308856,1.895320006,11.34053739,-0.626346676,5.233999699,11.37812613,0.950801066,4.919893359,10.30547596,0.676340062
0.059,0.003,19.66666667,0.001911751,9,11.96232198,10.80085045,-23.0484807,-22.68678575,305.0425539,-22.70981198,-23.80102694,-21.94843561,1.896520239,11.34339287,-0.618929111,5.173988056,11.38099063,0.951403135,4.859686531,10.30783753,0.676340062
0.059,0.003,19.66666667,0.002407356,11,15.42506527,13.60088071,-29.51599576,-28.93743718,297.4191147,-28.98493817,-30.7533088,-27.74969662,1.876000955,14.46871859,-0.956346681,6.199952252,14.51606325,0.941069811,5.893018926,12.83125817,0.676340062
0.059,0.003,19.66666667,0.002407977,11,15.41600721,13.60438982,-29.52423374,-28.94537022,297.4094547,-28.99290994,-30.76224176,-27.75699513,1.877617844,14.47268511,-0.943322099,6.119107795,14.52004199,0.941880851,5.811914886,12.83438509,0.676340062
