Material,Length,radius,Fratio,TDL,slope,intercept,AvgCurv,CurvDiff
SUS304,0.304,0.009,9,0.00618724274732899,-2.5923679216565403,2.655459056887478,2.261419132795684,0.394039924091794
SUS304,0.304,0.009,11,0.007946329585862937,-4.099060071887593,3.527417359677988,2.9043602287510737,0.6230571309269144
SUS304,0.304,0.009,13,0.009925289160994829,-6.267861515463953,4.580379117380795,3.627664167030274,0.9527149503505208
SUS304,0.304,0.009,15,0.01224996416195825,-9.430478613718856,5.9107588318723465,4.47732608258708,1.4334327492852665
SUS304,0.304,0.01,5,0.003454935697977682,-0.6791490543784051,1.2397226621792288,1.1364920059137111,0.10323065626551764
SUS304,0.304,0.01,7,0.005036217793165299,-1.3555692477248347,1.862697115511181,1.656650589857006,0.2060465256541748
SUS304,0.304,0.01,9,0.0067520630976105256,-2.316558496649329,2.5731902788625813,2.2210733873718835,0.3521168914906978
SUS304,0.304,0.01,11,0.008626616022098034,-3.6751424187297426,3.3963242864949583,2.8377026388480373,0.558621647646921
SUS304,0.304,0.01,13,0.010716899040018957,-5.5248316919850895,4.365070154030075,3.5252957368483413,0.8397744171817338
SUS304,0.304,0.01,15,0.013109567295728177,-8.195250258958591,5.558035702430185,4.31235766306848,1.2456780393617057
SUS304,0.353,0.008,9,0.005810214851364747,-2.5585041339943517,2.5090174992550835,2.0574415196050806,0.45157597965000296
SUS304,0.353,0.008,11,0.007575420880473426,-4.117505803742704,3.4092542504489107,2.6825144760883237,0.726739774360587
SUS304,0.353,0.008,13,0.009663505652638989,-6.497028340280998,4.568646767158389,3.4219212650987925,1.1467255020595961
SUS304,0.353,0.008,15,0.0123790038864018,-10.49612350155565,6.236065757798581,4.383499959774009,1.852565798024572
SUS304,0.353,0.008,5,0.002880614665480306,-0.7229109772682182,1.1476414735644362,1.0200476860765957,0.12759378748784056
SUS304,0.353,0.008,7,0.004263237485565061,-1.4699513201926417,1.7690914099846318,1.5096450019706305,0.2594464080140013
SUS304,0.353,0.009,5,0.0031946692687869586,-0.6377136793753839,1.1181180850540609,1.0055616206443057,0.1125564644097552
SUS304,0.353,0.009,7,0.004701992136210811,-1.2971026223600879,1.7089487281159328,1.4800101152693772,0.2289386128465556
SUS304,0.353,0.009,9,0.00636989154170949,-2.251150101260378,2.402330051956338,2.005002059083881,0.3973279928724569
SUS304,0.353,0.009,11,0.008242196334179884,-3.6057233383144442,3.2307432929707254,2.594333123758226,0.6364101692124993
